127.0.0.1 - - [25/Nov/2023:01:05:17 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Nov/2023:01:05:19 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [25/Nov/2023:01:05:20 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2023:01:16:12 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [25/Nov/2023:01:16:12 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Nov/2023:01:20:27 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [25/Nov/2023:01:21:31 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [25/Nov/2023:01:21:45 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2586
0:0:0:0:0:0:0:1 - - [25/Nov/2023:01:22:32 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [25/Nov/2023:01:25:48 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [25/Nov/2023:01:25:52 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [25/Nov/2023:01:25:55 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2586
0:0:0:0:0:0:0:1 - - [25/Nov/2023:01:29:06 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2023:01:29:08 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2023:01:29:08 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5752
0:0:0:0:0:0:0:1 - - [25/Nov/2023:01:29:08 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5752
0:0:0:0:0:0:0:1 - - [25/Nov/2023:01:29:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [25/Nov/2023:01:35:38 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [25/Nov/2023:01:35:57 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [25/Nov/2023:01:35:57 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2023:01:38:29 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [25/Nov/2023:02:01:33 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [25/Nov/2023:02:07:10 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [25/Nov/2023:02:07:10 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Nov/2023:02:07:59 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
0:0:0:0:0:0:0:1 - - [25/Nov/2023:02:16:56 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1260
